R2-USB,145.89,49.64,270.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,153.18,52.05,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,122.40,46.20,270.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH,156.35,5.69,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,93.00,61.20,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,75.90,18.90,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,77.30,18.90,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,46.70,29.10,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,43.70,29.10,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,75.80,24.70,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,32.80,48.10,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,48.60,29.10,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,49.08,108.65,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,20.20,108.01,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,88.00,48.20,180.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.20,108.11,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,84.00,24.00,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,45.20,108.11,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,155.90,10.79,0.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,70.60,11.20,180.00,,SJ
TANT,125.80,39.00,90.00,100uF,RCL_CT3528
TP1,11.30,68.80,0.00,TPTP20R,TP20R
TP10,68.40,77.20,0.00,TPTP20R,TP20R
TP11,72.00,77.20,0.00,TPTP20R,TP20R
TP12,75.80,77.10,0.00,TPTP20R,TP20R
TP13,80.00,77.20,0.00,TPTP20R,TP20R
TP14,141.90,60.50,0.00,TPTP20R,TP20R
TP15,83.70,77.20,0.00,TPTP20R,TP20R
TP16,87.20,77.20,0.00,TPTP20R,TP20R
TP17,68.40,29.60,0.00,TPTP20R,TP20R
TP2,15.40,68.70,0.00,TPTP20R,TP20R
TP3,141.90,64.10,0.00,TPTP20R,TP20R
TP4,146.40,63.90,0.00,TPTP20R,TP20R
TP5,146.40,60.40,0.00,TPTP20R,TP20R
TP6,52.00,77.00,0.00,TPTP20R,TP20R
TP7,55.90,77.00,0.00,TPTP20R,TP20R
TP8,60.20,77.10,0.00,TPTP20R,TP20R
TP9,64.40,77.20,0.00,TPTP20R,TP20R
U1,38.10,55.40,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.00,54.84,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,85.30,55.50,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,133.10,50.80,0.00,MAX17048G+T10,SON50P200X200X80-9N
